method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
"Combined (lw=5, fw=3)",20,49,173571.24401532393,97.69,4,3,9
"Combined (lw=5, fw=3)",20,50,173200.88757789746,97.49,7,2,9
"Combined (lw=5, fw=3)",20,51,174795.53633773525,98.38,4,2,9
Latency-Only Spacing,20,42,176764.57435902918,99.49,3,3,9
Latency-Only Spacing,20,43,164091.53437999,92.36,5,2,9
Latency-Only Spacing,20,44,164673.51894343016,92.69,7,2,9
Latency-Only Spacing,20,45,165501.94142350432,93.15,5,2,9
Latency-Only Spacing,20,46,164091.53437999,92.36,5,2,9
Latency-Only Spacing,20,47,164516.6996008885,92.6,4,1,9
Latency-Only Spacing,20,48,164649.6288738092,92.67,5,2,9
Latency-Only Spacing,20,49,164871.76951051367,92.8,6,1,9
Latency-Only Spacing,20,50,163852.52373345723,92.22,7,1,9
Latency-Only Spacing,20,51,164091.53437999,92.36,5,2,9
Random,20,42,151828.7613875532,85.46,3,2,9
Random,20,43,149789.35438910418,84.31,4,1,9
Random,20,44,157429.11525328588,88.61,5,5,9
Random,20,45,162927.284902815,91.7,8,3,9
Random,20,46,172432.1813485261,97.05,4,2,9
Random,20,47,149806.9650850978,84.32,3,1,9
Random,20,48,159368.77867037704,89.7,4,1,9
Random,20,49,176185.1859148493,99.17,5,3,9
Random,20,50,170247.01185787612,95.82,4,2,9
Random,20,51,173207.41515600018,97.49,7,3,9
Uniform Latency,20,42,161035.87465563914,90.64,5,1,9
Uniform Latency,20,43,163178.4091596579,91.85,5,2,9
Uniform Latency,20,44,152732.92150001132,85.97,3,1,9
Uniform Latency,20,45,165502.69383371447,93.15,6,2,9
Uniform Latency,20,46,158162.7739475088,89.02,4,0,9
Uniform Latency,20,47,161481.71361764093,90.89,7,1,9
Uniform Latency,20,48,157845.6135803999,88.84,3,1,9
Uniform Latency,20,49,160314.04589009224,90.23,5,2,9
Uniform Latency,20,50,155628.33553429105,87.6,5,0,9
Uniform Latency,20,51,157057.18719160062,88.4,4,1,9
Largest-N,20,42,140981.74997429625,79.35,9,1,9
Largest-N,20,43,140981.74997429625,79.35,9,1,9
Largest-N,20,44,140981.74997429625,79.35,9,1,9
Largest-N,20,45,140981.74997429625,79.35,9,1,9
Largest-N,20,46,140981.74997429625,79.35,9,1,9
Largest-N,20,47,140981.74997429625,79.35,9,1,9
Largest-N,20,48,140981.74997429625,79.35,9,1,9
Largest-N,20,49,140981.74997429625,79.35,9,1,9
Largest-N,20,50,140981.74997429625,79.35,9,1,9
Largest-N,20,51,140981.74997429625,79.35,9,1,9
Smallest-N,20,42,152571.79083222587,85.88,2,2,9
Smallest-N,20,43,152571.79083222587,85.88,2,2,9
Smallest-N,20,44,152571.79083222587,85.88,2,2,9
Smallest-N,20,45,152571.79083222587,85.88,2,2,9
Smallest-N,20,46,152571.79083222587,85.88,2,2,9
Smallest-N,20,47,152571.79083222587,85.88,2,2,9
Smallest-N,20,48,152571.79083222587,85.88,2,2,9
Smallest-N,20,49,152571.79083222587,85.88,2,2,9
Smallest-N,20,50,152571.79083222587,85.88,2,2,9
Smallest-N,20,51,152571.79083222587,85.88,2,2,9
Ours (Metadata-Only Maximin),25,42,173815.07031885357,97.83,6,3,9
Ours (Metadata-Only Maximin),25,43,174072.78169100458,97.98,8,3,9
Ours (Metadata-Only Maximin),25,44,176119.5846870408,99.13,5,4,9
Ours (Metadata-Only Maximin),25,45,174690.22565975212,98.32,6,1,9
Ours (Metadata-Only Maximin),25,46,174072.78169100458,97.98,8,3,9
Ours (Metadata-Only Maximin),25,47,174250.25290349816,98.08,7,3,9
Ours (Metadata-Only Maximin),25,48,172461.79921173948,97.07,7,2,9
Ours (Metadata-Only Maximin),25,49,172994.57498342879,97.37,5,2,9
Ours (Metadata-Only Maximin),25,50,173200.88757789746,97.49,7,2,9
Ours (Metadata-Only Maximin),25,51,175145.88948013115,98.58,5,4,9
"Combined (lw=5, fw=3)",25,42,173811.5988928952,97.83,5,2,9
"Combined (lw=5, fw=3)",25,43,174158.10948839903,98.03,8,4,9
"Combined (lw=5, fw=3)",25,44,176119.5846870408,99.13,5,4,9
"Combined (lw=5, fw=3)",25,45,176267.62022494618,99.21,5,3,9
