method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
Pareto Search (Ours),20,45,176267.62022494618,99.21244334535221,5,3,9
Pareto Search (Ours),20,46,173828.87443489552,97.83979232629184,6,2,9
Pareto Search (Ours),20,47,169782.0687589144,95.56204285451958,6,2,9
Pareto Search (Ours),20,48,160203.1816538815,90.17055465602454,8,0,9
Pareto Search (Ours),20,49,173571.24401532393,97.69478473287697,4,3,9
Pareto Search (Ours),20,50,173200.88757789746,97.48632916390254,7,2,9
Pareto Search (Ours),20,51,174795.53633773525,98.38387914806437,4,2,9
Metadata-Only Maximin,20,42,166118.55382909637,93.50002904304597,6,2,9
Metadata-Only Maximin,20,43,173998.04519661213,97.93501029423786,6,2,9
Metadata-Only Maximin,20,44,176119.5846870408,99.12912136370412,5,4,9
Metadata-Only Maximin,20,45,174690.22565975212,98.32460490552494,6,1,9
Metadata-Only Maximin,20,46,173998.04519661213,97.93501029423786,6,2,9
Metadata-Only Maximin,20,47,169782.0687589144,95.56204285451958,6,2,9
Metadata-Only Maximin,20,48,164765.28272198228,92.73833876281118,7,1,9
Metadata-Only Maximin,20,49,172937.65126563897,97.33816628700515,4,2,9
Metadata-Only Maximin,20,50,173200.88757789746,97.48632916390254,7,2,9
Metadata-Only Maximin,20,51,174795.53633773525,98.38387914806437,4,2,9
Latency-Only Spacing,20,42,176764.57435902918,99.49215458108584,3,3,9
Latency-Only Spacing,20,43,164091.53437999,92.35911869321683,5,2,9
Latency-Only Spacing,20,44,164673.51894343016,92.68668940900962,7,2,9
Latency-Only Spacing,20,45,165501.94142350432,93.1529680043948,5,2,9
Latency-Only Spacing,20,46,164091.53437999,92.35911869321683,5,2,9
Latency-Only Spacing,20,47,164516.6996008885,92.5984234522927,4,1,9
Latency-Only Spacing,20,48,164649.6288738092,92.67324285441406,5,2,9
Latency-Only Spacing,20,49,164871.76951051367,92.7982749805959,6,1,9
Latency-Only Spacing,20,50,163852.52373345723,92.22459126158867,7,1,9
Latency-Only Spacing,20,51,164091.53437999,92.35911869321683,5,2,9
Random,20,42,151828.7613875532,85.45700207522174,3,2,9
Random,20,43,149789.35438910418,84.30911937825488,4,1,9
Random,20,44,157429.11525328588,88.60916802554692,5,5,9
Random,20,45,162927.284902815,91.70381946612865,8,3,9
Random,20,46,172432.1813485261,97.05366193248818,4,2,9
Random,20,47,149806.9650850978,84.31903157980562,3,1,9
Random,20,48,159368.77867037704,89.70090992704661,4,1,9
Random,20,49,176185.1859148493,99.16604509416028,5,3,9
Random,20,50,170247.01185787612,95.8237366403986,4,2,9
Random,20,51,173207.41515600018,97.4900032191367,7,3,9
Uniform Latency,20,42,161035.87465563914,90.63923691970702,5,1,9
Uniform Latency,20,43,163178.4091596579,91.84516505797855,5,2,9
Uniform Latency,20,44,152732.92150001132,85.96590968864444,3,1,9
Uniform Latency,20,45,165502.69383371447,93.15339149939206,6,2,9
Uniform Latency,20,46,158162.7739475088,89.0221087093919,4,0,9
Uniform Latency,20,47,161481.71361764093,90.8901779189802,7,1,9
Uniform Latency,20,48,157845.6135803999,88.84359461296836,3,1,9
Uniform Latency,20,49,160314.04589009224,90.23295472553275,5,2,9
Uniform Latency,20,50,155628.33553429105,87.59559698158414,5,0,9
Uniform Latency,20,51,157057.18719160062,88.39982786595661,4,1,9
Largest-N,20,42,140981.74997429625,79.35174857528344,9,1,9
Largest-N,20,43,140981.74997429625,79.35174857528344,9,1,9
Largest-N,20,44,140981.74997429625,79.35174857528344,9,1,9
Largest-N,20,45,140981.74997429625,79.35174857528344,9,1,9
Largest-N,20,46,140981.74997429625,79.35174857528344,9,1,9
Largest-N,20,47,140981.74997429625,79.35174857528344,9,1,9
Largest-N,20,48,140981.74997429625,79.35174857528344,9,1,9
Largest-N,20,49,140981.74997429625,79.35174857528344,9,1,9
Largest-N,20,50,140981.74997429625,79.35174857528344,9,1,9
Largest-N,20,51,140981.74997429625,79.35174857528344,9,1,9
Pareto Search (Ours),25,42,173811.5988928952,97.83006876657181,5,2,9
Pareto Search (Ours),25,43,174158.10948839903,98.02510267456418,8,4,9
Pareto Search (Ours),25,44,176119.5846870408,99.12912136370412,5,4,9
Pareto Search (Ours),25,45,176267.62022494618,99.21244334535221,5,3,9
